id,id_client,id_product,qtd,total,sale_date,product_name,price,category,client_name,city,state,brl_cost,cost_total,profit,margin_pct,year,month,weekday
0,42,105,11,3405.0,2023-09-10,Cabo de Nylon Danforth Prime,309.54,ancoragem,Márcia Figueiredo,Vila do Conde (Barcarena),PA,266.85,2935.35,469.65,13.79,2023,9,6
1,3,136,9,16873.9,2024-09-15,Cabo de Nylon Bruce Flux Hydro,1973.5,ancoragem,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,1953.1,17577.9,-704.0,-4.17,2024,9,6
2,25,139,7,9475.3,2024-08-13,Boia de Arqueamento Danforth Torque,1424.88,ancoragem,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,1234.45,8641.15,834.15,8.8,2024,8,1
4,20,23,5,55893.0,2023-02-03,Piloto Automático Furuno Torque Peak,11178.63,eletronicos,Bruno Silva,Santarém Novo,PA,11223.3,56116.5,-223.5,-0.4,2023,2,4
5,8,57,4,451403.9,2024-02-12,Motor de Popa Honda Vector Kinetic 174HP,118790.57,propulsao,Luiz Alves Pimentel,Aracaju,SE,102433.9,409735.6,41668.3,9.23,2024,2,0
6,36,52,3,39056.4,2023-09-26,Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,propulcao,Francisca Ribeiro Pinheiro,Belém,PA,12133.3,36399.9,2656.5,6.8,2023,9,1
8,27,25,3,34560.05,2024-02-28,Rádio Lowrance Nitro Thrust Barracuda,12126.46,eletronicos,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,10699.95,32099.85,2460.2,7.12,2024,2,2
9,37,26,7,114932.9,2023-11-07,Piloto Automático Furuno Core Boost Flux,17283.18,eletronicos,Jéssica Pimentel Borges Nunes Teixeira,Itaqui (São Luís),MA,16894.25,118259.75,-3326.85,-2.89,2023,11,1
10,31,143,3,12643.55,2024-08-25,Âncora Delta Hydra Kraken Velocity,4436.43,ancoragem,Jéssica Figueiredo Leite Martins,São Luís,MA,3831.65,11494.95,1148.6,9.08,2024,8,6
11,39,128,5,23254.0,2023-05-07,Boia de Arqueamento Bruce Marlin Hydra,4650.72,ancoragem,Renata Oliveira Siqueira,Suape (Ipojuca),PE,4265.45,21327.25,1926.75,8.29,2023,5,6
12,27,48,13,191573.0,2024-07-29,GPS Furuno Magnum Drift,14736.35,eletronicos,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,13029.95,169389.35,22183.65,11.58,2024,7,0
13,43,19,2,31221.75,2024-04-28,Sonda Lowrance Tidal Storm Vox,16432.35,eletronicos,Jéssica Farias Cunha,Itaqui (São Luís),MA,16790.65,33581.3,-2359.55,-7.56,2024,4,6
14,13,125,15,48479.45,2024-05-06,Cabo de Nylon Danforth Kinetic,3402.07,ancoragem,Carlos Guimarães Martins,Santarém,PA,3231.35,48470.25,9.2,0.02,2024,5,0
15,17,14,3,102061.35,2023-10-14,Rádio Furuno Zen Swift,35811.08,eletronicos,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,34164.35,102493.05,-431.7,-0.42,2023,10,5
16,39,45,2,18816.65,2024-10-07,GPS Furuno Current,9903.71,eletronicos,Renata Oliveira Siqueira,Suape (Ipojuca),PE,9406.65,18813.3,3.35,0.02,2024,10,0
17,43,91,11,1409558.7,2023-09-05,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,propulsao,Jéssica Farias Cunha,Itaqui (São Luís),MA,138358.85,1521947.35,-112388.65,-7.97,2023,9,1
18,25,27,3,47057.3,2024-11-28,GPS Garmin Vortex Maré Drift,16511.45,eletronicos,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,15256.15,45768.45,1288.85,2.74,2024,11,3
19,37,100,2,198740.0,2023-07-16,Motor Elétrico Honda Vector Abyss 220HP,104600.24,propulsao,Jéssica Pimentel Borges Nunes Teixeira,Itaqui (São Luís),MA,99036.4,198072.8,667.2,0.34,2023,7,6
20,39,56,12,490071.75,2024-11-27,Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,propulsao,Renata Oliveira Siqueira,Suape (Ipojuca),PE,40437.95,485255.4,4816.35,0.98,2024,11,2
21,17,71,3,390522.0,2024-12-04,Motor Elétrico Torqeedo Pulse 300HP,130174.06,propulsao,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,115500.85,346502.55,44019.45,11.27,2024,12,2
22,29,20,2,61667.0,2024-11-04,Radar AIS Marlin,30833.44,eletronicos,Gabriela Moraes Macedo Nunes,Fortaleza,CE,28445.2,56890.4,4776.6,7.75,2024,11,0
23,7,132,15,23445.0,2023-02-04,Corrente Bruce Nautic Evo,1562.97,ancoragem,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,1572.3,23584.5,-139.5,-0.6,2023,2,5
